secs, cad, hr, km, kph, nm, watts, alt, lon, lat, headwind, slope, temp, interval, lrbalance, lte, rte, lps, rps, smo2, thb, o2hb, hhb
44,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
45,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
46,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
47,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
48,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
49,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
50,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
51,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
52,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
53,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
54,0,0,0.00326,0,0,0,40.2,144.413,-37.8876,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
55,0,0,0.00326,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
56,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
57,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
58,0,0,0.00333,0,0,0,40.2,144.413,-37.8877,0,2.66454e-16,25,0,-255,0,0,0,0,0,0,0,0
